episode,reward
1,237.86278460447843
2,316.5402441648543
3,333.50003187370544
4,387.31212680510356
5,412.69394407031604
6,441.5626460376199
7,439.55338003058137
8,476.3597442446734
9,479.0703171912439
10,482.9812588456988
11,480.1655702427986
12,488.34931017418245
13,483.0672963114374
14,479.3679065560698
15,491.4101809323459
16,485.1039448026653
17,484.25015273289983
18,485.1985181212855
19,489.60449234462635
20,487.4894542605536
21,489.41089494563477
22,483.0384068424024
23,489.70114495602206
24,485.074291114947
25,489.2771674258016
26,488.3929751640369
27,488.58400411689985
28,490.63122765806975
29,484.3685423346034
30,489.7748512747582
31,482.5457186252953
32,488.44227492637015
33,484.38909115510455
34,487.82251875764734
35,482.684110091898
36,484.66588847803536
37,484.17298880765236
38,481.27233554208635
39,483.24057016603547
40,491.62036892371754
41,491.62716306213224
42,487.6545257570412
43,485.0730274263784
44,487.04517773238655
45,495.7208345472841
46,485.3685668444473
47,480.0108294831055
48,489.61800563927585
49,491.4306323425778
50,489.82815267325833
51,492.5526588706176
52,481.5197823840941
53,478.46667106098647
54,491.6114439098735
55,489.2459958268849
56,491.8122750341083
57,489.5862170108183
58,490.4287481067021
59,484.4260743857278
60,489.6704933282324
61,484.01464412912543
62,484.0226494098975
63,491.67157275876565
64,485.43995032381474
65,482.8353128738124
66,483.59249165578274
67,483.0076609762367
68,487.8179653954087
69,486.36419555496065
70,480.4566486209714
71,479.58044417047637
72,484.3622767182718
73,485.31100455718547
74,481.89567493272756
75,481.9196769445249
76,478.9518475358945
77,491.60186941797167
78,489.5878349622179
79,485.7792657340021
80,483.8826528281772
81,485.4241368193102
82,487.826476799431
83,485.9801591269258
84,485.8034029743997
85,486.3945020587837
86,491.7888032590995
87,484.35395902493116
88,481.55205845638636
89,480.38409002084427
90,483.58305936558753
91,487.1903308166202
92,491.77777784068326
93,493.6786838863828
94,491.69172959598086
95,483.72001536958624
96,489.5972389425159
97,481.4002092886528
98,485.7763151956916
99,477.3726428994369
100,481.40853103087215
101,485.42203824541815
102,477.4379462778977
103,491.7274512564562
104,485.5911687391193
105,485.67648883679124
106,483.6347317302237
107,483.21599912104546
108,485.09554888255667
109,490.5380307038856
110,492.6775947307207
111,485.1723549905375
112,487.82123364063955
113,486.3708267475726
114,483.84603335979654
115,476.8183092537614
116,485.2589790465849
117,489.80886571250795
118,485.62358576219856
119,483.5390949541057
120,485.4813056352182
