episode,reward
1,225.73797442586337
2,258.1834091408675
3,307.07727767669576
4,325.249328490384
5,345.817768548516
6,359.08086682507883
7,373.8034545173069
8,382.8726021775745
9,412.6021330836531
10,405.4899616746277
11,426.4177887061253
12,415.2838070113036
13,419.45795520598745
14,424.14075543606396
15,428.39528718620295
16,417.42495291250754
17,430.5139668273744
18,417.32701038448306
19,424.2757849607449
20,427.95670454527607
21,424.6091428732193
22,425.465475132556
23,430.21124402215236
24,427.9888961444752
25,425.4524033808196
26,424.8303470900871
27,422.9091574304907
28,422.52905069604736
29,416.2201392464016
30,414.067056163776
31,425.3630224023655
32,428.29653621001205
33,426.55594168147064
34,423.16421918893747
35,419.4421928421821
36,427.05601828847045
37,426.2418898265898
38,423.0343334517656
39,420.1248456808626
40,417.1712090673944
41,423.2707355461721
42,421.9561354498783
43,425.9368076101807
44,422.29255434060707
45,421.2908961052749
46,428.31698437716716
47,423.47026470448657
48,423.0401914433645
49,420.78054131810416
50,426.4638836392346
51,424.0544874608637
52,425.3171808723035
53,427.4723318968757
54,421.41727001150923
55,425.8129053569079
56,420.1180957197719
57,427.1667237175161
58,423.8497776206715
59,424.8805645370055
60,424.11150582407225
61,427.4366258399873
62,419.3160489841607
63,424.0546440877085
64,420.4630098168537
65,422.6064763346942
66,423.2259700841013
67,424.5655628185117
68,417.8851590809371
69,424.58947230588655
70,426.7103663953988
71,425.6267422196646
72,429.7412500148096
73,428.9383260149201
74,420.5946935989568
75,423.73662311366746
76,419.2602648155429
77,423.74808785703016
78,419.3286617691014
79,419.35271624658594
80,425.0580896725646
81,420.8716163255097
82,423.15150109550257
83,421.63822643950476
84,417.74041508440223
85,408.16317271540186
86,412.8691590229817
87,424.3686377857753
88,427.47680059905406
89,420.8724464535096
90,419.5458193546736
91,417.90559290689004
92,425.9732141659159
93,422.061565098467
94,421.8069987007941
95,418.7382308183214
96,420.1570897519716
97,411.85574295792935
98,423.012346250125
99,413.999781333897
100,425.77078612688655
101,422.5094751489264
102,423.2267517068121
103,420.39222303170874
104,427.8405843915566
105,421.7914218690227
106,424.4038508773172
107,419.072561408499
108,424.0566815059579
109,424.70366549341867
110,418.719114088919
111,416.1410384089109
112,415.003256020552
113,417.54399224572893
114,413.24002692678715
115,424.30152179369105
116,426.0928959770366
117,424.2042432661781
118,418.1181696517284
119,415.93840573961944
120,421.3730125458926
121,424.1781036939401
122,425.0057959647812
123,411.3643624589648
124,424.77401337470553
125,419.24693483121587
126,423.4156391667781
127,423.0087797729251
128,427.36864197110003
129,420.6733411905587
130,420.56357271470375
131,424.91763200125746
132,425.87911757596237
133,423.3373063040525
134,424.93016653068923
135,429.85207835847126
136,423.64067295086943
137,427.7060671007944
138,423.5369483581499
139,421.09118336884234
140,421.81370009309995
141,419.4450408901703
142,421.8475132115861
143,414.3459310735833
144,421.63073227438133
145,418.38383599222107
146,417.47920385588696
147,419.59160518787274
148,420.00108571046127
149,419.17464046518165
150,426.8497733543398
151,418.1787904411049
152,417.77784359890967
153,422.1660036289877
154,409.18282589621595
155,421.7907329436746
156,417.67045211929917
157,415.26895040135105
158,415.4870920199802
159,414.7006601944403
160,418.8170781249578
161,414.59089441558245
162,413.02907289595987
163,412.83607955251614
164,419.1728303270329
165,417.37738963800115
166,416.56700434917263
167,415.2773303157647
168,415.7223001626876
169,411.4706463006419
170,412.38077291489066
171,413.5752527788219
172,412.4475948409966
173,415.1332959156813
174,405.714247653596
175,415.4823712947691
176,407.93336891876817
177,408.1306761685047
178,415.1702852006473
179,401.534745158479
180,403.396719586623
181,405.2591991828455
182,394.6169752318914
183,407.6343607068034
184,392.5207529780099
185,419.23482201814727
186,417.3224350966063
187,414.86212357475085
188,412.03056244523657
189,409.9331439020643
190,406.72432276598204
191,408.0934973374368
192,409.42265396702186
193,399.081777340884
194,405.768379340203
195,392.4675889894195
196,403.5237268857406
197,394.0528561829323
198,397.83124149360384
199,397.0769171233758
200,396.1379227906327
201,403.15157710299854
202,398.64558225831405
203,391.5467624587272
204,406.57487568652493
205,399.94888933589306
206,415.46193255396634
207,399.34315399801136
208,417.0039894568063
209,400.789241069016
210,400.40676801923064
211,400.3675411652076
212,409.6349925416766
213,413.2773358514534
214,405.94118681605147
215,404.41412187020654
216,383.9782696186652
217,406.8110201693038
218,382.18903150261957
219,396.2211580723913
220,401.6339811277806
221,398.995272489099
222,376.7463728629379
223,402.9519486847249
224,393.75555076097794
225,394.88665881879865
226,392.61018687583055
227,383.2420316337274
228,389.82217503822886
229,393.592462983835
230,385.37566297338003
231,392.65005325076567
232,404.27398427395724
233,396.69692301770607
234,393.0125604423051
235,400.1884896101083
236,400.2991066410277
237,393.9600140826667
238,409.0207091472659
239,402.6305928935342
240,402.15861061312046
241,400.49894271733217
242,400.16491642991144
243,384.4821213376545
244,394.6615800688915
245,397.8949991113718
246,404.4842256713396
247,401.00329182568686
248,387.5307627519649
249,397.35033565567613
250,392.55762384394336
251,379.9441794557192
252,401.13768465333817
253,395.74059139504004
254,388.1081642653184
255,396.41393810756693
256,400.98001653892186
257,384.21250678595425
258,395.61219450514335
259,401.0090516153722
260,394.4163354511859
261,406.5051869840947
262,407.164517853594
263,376.3182970351293
264,388.4507678551116
265,379.1289112528074
266,396.247201498641
267,400.6808710702407
268,399.3612760410827
269,400.8423168676046
270,413.38898706870015
271,405.41368064363496
272,398.23334350001267
273,398.8541515270832
274,385.53321010491095
275,390.0020122145092
276,388.2751999280819
277,386.20436587662624
278,392.62385365649936
279,395.5912580939844
280,383.1094858051973
281,387.8387570162883
282,395.74103854492506
283,383.10353522346117
284,390.52796337672413
285,398.4734536679694
286,400.1352240030513
287,395.91168250459407
288,387.1557897518051
289,390.94835172948774
290,383.8889970310804
291,394.83241196980094
292,392.53831369459783
293,399.6079651751538
294,383.61389222509905
295,396.22612179601435
296,403.5110824972829
297,385.88272220229555
298,383.6166146851007
299,398.6179274490987
300,386.1498216775992
301,380.79708590888805
302,383.802641082952
303,394.69778105885393
304,381.5517385561294
305,389.7558560882857
306,383.8241722833232
307,374.59281050283334
308,382.71091702650125
309,396.12437865857646
310,383.6254641784154
311,395.7653183391233
312,401.20736571400715
313,386.39011880378945
314,374.7651786478783
315,361.98028497267114
316,373.53536518602647
317,349.51572752443184
318,376.9667773319982
319,372.6241402301821
320,375.58535649064584
321,365.82565060270434
322,368.4341592030527
323,378.0859748724747
324,380.5413312480682
325,383.696788324601
326,346.9838239513119
327,375.67689469429325
328,372.45151196296564
329,365.00068464539663
330,379.9295878350125
331,379.95856751319945
332,383.32879082589665
333,382.59073340518836
334,385.7871312698967
335,390.62029287442317
336,385.8874248391052
337,389.6295619798826
338,386.0343812008261
339,379.1800699516322
340,389.53736781839746
341,391.95817004109904
342,382.3398615674516
343,380.2635485782852
344,388.56581633710545
345,385.68823265301086
346,392.03469924479214
347,401.1862283979196
348,386.78870447215326
349,388.83994334926405
350,397.0889874869583
351,401.1546913331071
352,399.67936534367857
353,402.8984626519887
354,396.3611152111466
355,393.98578887419137
356,373.61074553389676
357,379.6892914338644
358,373.32077219070885
359,383.33405258698605
360,370.21962083747417
361,375.5772572357066
362,373.2263811501973
363,378.3495093137335
364,376.4414091842844
365,383.0331187328788
366,380.22603373815474
367,370.46595355743136
368,394.41382374515183
369,381.8075342257921
370,374.70271097944
371,374.77813759943655
372,380.81144608389997
373,363.51249621715743
374,372.2019652382813
375,398.8284702351675
376,378.24856382179587
377,372.9599486936622
378,365.0880231134091
379,382.23992835957637
380,373.1916241922107
381,385.5761883826739
382,378.54603165001225
383,398.34199263304004
384,381.41328208880054
385,376.82229749275547
386,384.7920080778556
387,379.54042313403164
388,373.4884600612284
389,383.0899343571126
390,379.55645522804804
391,383.33446198299356
392,371.83400269820226
393,376.86070351119486
394,384.3131171471244
395,381.6028613553014
396,375.50628898168696
397,373.5514470766965
398,383.87765413259734
