episode,reward
0,69681.994048
1,84072.740342
2,83805.482466
3,83347.48035
4,83922.929081
5,84039.770219
6,83266.495309
7,83980.456778
8,84130.936389
9,84146.443545
10,84116.591742
11,84028.125472
12,83528.91985
13,83885.590438
14,83784.875238
15,83302.35963
16,83395.528821
17,83513.624685
18,83746.536488
19,83875.801778
